n_item,descricao,tot_itens,deposito,saldo_inicial,doc,quantidade,custo,val_totais,qt_acum,valor_acum,nome_usuario,data_sistema,data_lancamento,data_doc
92240100,OCULOS MONOFOCAL INCOLOR,17,ENSP5,0,compra,17,370.0,6290.0,17,6290.0,JANINI GURGEL,25/3/2025,25/3/2025,13/3/2025
92240101,OCULOS MULTIFOCAL INCOLOR,6,ENSP5,0,Compra,6,510.0,3060.0,6,3060.0,JANINI GURGEL,25/3/2025,25/3/2025,13/3/2025
BO01001,BAINHA DE COURO PARA FACA LÂMINA CURVA,73,ENSP5,0,ENTRADA,15,9.88,148.2,15,148.2,ANTONIO NUNES,5/3/2025,1/3/2025,1/3/2025
BO01001,BAINHA DE COURO PARA FACA LÂMINA CURVA,73,ENSP5,0,ENTREGA,-1,9.88,-9.88,14,138.32,APT003,17/3/2025,17/3/2025,17/3/2025
